sequence,damino_filter,length_filter,cationicity_filter,hydrophobicity_filter,predicted_structure_path,fasta_path,structure_classification,structure_filter
VeQLAmKtGKcrVLNYhMRw,1,1,1,1,outputs/output_localtest_pro_3\structure_output\seq_0.pdb,outputs/output_localtest_pro_3\fasta_input\seq_0.fasta,Error: [WinError 2] The system cannot find the file specified,0
FcPkHINaAVCYNA,1,1,0,1,,,Did not pass filters,0
WWImwKYMKCV,1,1,0,1,,,Did not pass filters,0
YGAIYrAcVVarKKfAK,1,1,1,1,outputs/output_localtest_pro_3\structure_output\seq_3.pdb,outputs/output_localtest_pro_3\fasta_input\seq_3.fasta,Error: [WinError 2] The system cannot find the file specified,0
HGLYNgiRTr,1,1,0,0,,,Did not pass filters,0
LIGKWItsLKvCwRFY,1,1,1,0,,,Did not pass filters,0
KRIPkhReIEGf,1,1,0,0,,,Did not pass filters,0
YkRPMVwLYFImMINr,1,1,1,1,outputs/output_localtest_pro_3\structure_output\seq_7.pdb,outputs/output_localtest_pro_3\fasta_input\seq_7.fasta,Error: [WinError 2] The system cannot find the file specified,0
YLmYRISAWRcIa,1,1,0,0,,,Did not pass filters,0
YKNVPALKaSMpQMSRqQ,1,1,1,0,,,Did not pass filters,0
aIFRHInFqrFGI,1,1,0,1,,,Did not pass filters,0
iIMyNKKMIIaHKwKVKMY,1,1,1,1,outputs\output_localtest_pro_3\structure_output\seq_11.pdb,outputs\output_localtest_pro_3\fasta_input\seq_11.fasta,Error: [WinError 2] The system cannot find the file specified,0
RIGQTpiMYaYrFKVkATeL,1,1,1,1,outputs\output_localtest_pro_3\structure_output\seq_12.pdb,outputs\output_localtest_pro_3\fasta_input\seq_12.fasta,Error: [WinError 2] The system cannot find the file specified,0
VwtCVlFLVK,1,1,0,0,,,Did not pass filters,0
AQDMsDVMVIy,1,1,0,0,,,Did not pass filters,0
YRMaQYakKFHQsWRLKkSV,1,1,1,0,,,Did not pass filters,0
sWAKKSVMnlF,1,1,0,1,,,Did not pass filters,0
lGnTFYLKmHiWL,1,1,0,0,,,Did not pass filters,0
wyFRRKHWRRATRm,new,new,new,new,new,new,new,new
DMLvYRylWA,new,new,new,new,new,new,new,new
WwPvDYrRIRFVMTYTlMq,new,new,new,new,new,new,new,new
IIMfLqKlKKGLGNYl,new,new,new,new,new,new,new,new
KvYrDMYaHNFRrQHiAVvv,new,new,new,new,new,new,new,new
MCFYmCKvMkw,new,new,new,new,new,new,new,new
SKgDkTWLRWYMVHKIeVv,new,new,new,new,new,new,new,new
rMKMFSKhVAiFHK,new,new,new,new,new,new,new,new
ITyrWLNMINkHcc,new,new,new,new,new,new,new,new
IWDRyFYaAqRFLKYkH,new,new,new,new,new,new,new,new
MWvSTNytVVIkFCLRsVKM,new,new,new,new,new,new,new,new
ktKCvRdWKWVMNnFMYwP,new,new,new,new,new,new,new,new
FYRLArvIFhYArNA,new,new,new,new,new,new,new,new
WSTlWLvLRQSMLiNAA,new,new,new,new,new,new,new,new
NQYVqARDmSkm,new,new,new,new,new,new,new,new
YQIMMaMLwVI,new,new,new,new,new,new,new,new
WIWqpRfFRiGM,new,new,new,new,new,new,new,new
RHRRlLRALkMLS,new,new,new,new,new,new,new,new
KfMKWCAIyRygsYL,new,new,new,new,new,new,new,new
TWAKaaFySGLVNM,new,new,new,new,new,new,new,new
MRWWyEKRnFVDlVnAwF,new,new,new,new,new,new,new,new
VEYfyIKeHLH,new,new,new,new,new,new,new,new
QkRKqrCAYfV,new,new,new,new,new,new,new,new
TSrFaYNIGVIFIcAcQ,new,new,new,new,new,new,new,new
TLVVRFIkRPYRQkGTVDl,new,new,new,new,new,new,new,new
WSIIaRFRRRVMw,new,new,new,new,new,new,new,new
PgeWSLYSLMCFaaqNMwgK,new,new,new,new,new,new,new,new
rFWWMrAWRySWKYRkgP,new,new,new,new,new,new,new,new
ArRIFCRCNvDg,new,new,new,new,new,new,new,new
dwMQLSIyVMwK,new,new,new,new,new,new,new,new
PWQsTFaKDTRMTINMkE,new,new,new,new,new,new,new,new
MLAASYttKmMFfNMQK,new,new,new,new,new,new,new,new
RVWVViKMwmIWLV,new,new,new,new,new,new,new,new
SdIVtwWmWwVHGIKRAQ,new,new,new,new,new,new,new,new
wMYYrPvSVKCl,new,new,new,new,new,new,new,new
KNMWpIMFyIlP,new,new,new,new,new,new,new,new
YYaQYNAYYYCMmmYNmF,new,new,new,new,new,new,new,new
SClcPCRVLYPVlF,new,new,new,new,new,new,new,new
WGAWilWRSRKMmSRLY,new,new,new,new,new,new,new,new
WRLkMRgLSLGNmWL,new,new,new,new,new,new,new,new
qVSpIcTQRISVL,new,new,new,new,new,new,new,new
iVKCGiMWFAYIaRnF,new,new,new,new,new,new,new,new
YMaKMTksfMEY,new,new,new,new,new,new,new,new
HLFIiWYVWvN,new,new,new,new,new,new,new,new
WLWMnYIWVMAHAGRmFsl,new,new,new,new,new,new,new,new
VaISRWHiIMHLNfKIRL,new,new,new,new,new,new,new,new
LKaRVfLKAAI,new,new,new,new,new,new,new,new
YVMVikpFWEMC,new,new,new,new,new,new,new,new
RyvKAIPHrPWI,new,new,new,new,new,new,new,new
LrFRIwWWIVGPAIfRQYfM,new,new,new,new,new,new,new,new
