sequence,damino_filter,length_filter,cationicity_filter,hydrophobicity_filter,predicted_structure_path,fasta_path,structure_classification,structure_filter
sKTVNiAMMT,1,1,0,1,,,Did not pass filters,0
KmwcNRYERP,1,1,0,0,,,Did not pass filters,0
LYnpVLPKIV,1,1,0,0,,,Did not pass filters,0
RYLcVkfKKwWKAWlv,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_3.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_3.fasta,Unstructured / Random Coil,0
VLVImAKYQn,1,1,0,0,,,Did not pass filters,0
TFMKHySKiRy,1,1,1,0,,,Did not pass filters,0
lWWRfAKKYicMD,1,1,0,1,,,Did not pass filters,0
WWHLWhrWVR,1,1,0,0,,,Did not pass filters,0
WVVLHFtVMSYMKkAlFAV,1,1,0,0,,,Did not pass filters,0
FWpYVITTVaqHYlWKcfVI,1,1,0,0,,,Did not pass filters,0
KCILmGYDKlWrKm,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_10.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_10.fasta,Alpha-Helical,1
YRQMRVIdARSPCNgRRl,1,1,1,0,,,Did not pass filters,0
CqsAYwcAAWMSRGfm,1,1,0,1,,,Did not pass filters,0
LPpMYgRVhHLK,1,1,0,0,,,Did not pass filters,0
SFCfNALGwqYNLIQwYFLR,1,1,0,1,,,Did not pass filters,0
aQYIalYFaWAAAF,1,1,0,0,,,Did not pass filters,0
GrFmITHyPIwY,1,1,0,1,,,Did not pass filters,0
KMspIPgRQAAe,1,1,0,0,,,Did not pass filters,0
yRKcPMSeITNSrRFa,1,1,1,0,,,Did not pass filters,0
IRyMSFarIV,1,1,0,0,,,Did not pass filters,0
sWLLLfRKSIKMaIFsQ,1,1,1,0,,,Did not pass filters,0
KwWGGWtKmLVLMLMS,1,1,0,0,,,Did not pass filters,0
kPNIIgWKFiLSWMYRVdn,1,1,0,1,,,Did not pass filters,0
wWRFDLIFFTKnWIrVN,1,1,0,1,,,Did not pass filters,0
EvrrcYHVMwMRAGPY,1,1,0,0,,,Did not pass filters,0
kRIryYFMMV,1,1,1,1,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\structure_output\seq_25.pdb,C:\Users\siddh\OneDrive\Desktop\IO\AMPGANv3\pepcraft\outputs\output_run3_pro_3\fasta_input\seq_25.fasta,Unstructured / Random Coil,0
VKHKVnFYLHvVS,1,1,0,1,,,Did not pass filters,0
